item_code,design_code,design_name,category,karat,gold_color,ring_size,diamond_grade,actual_net_weight,actual_diamond_weight,cert_lab,cert_number,hallmark_number,price,status
YRA-0004-18R-18,RG-004,Ira Diamond Ring,Rings,18Kt,Rose,18,IJ/SI,6.109,0.98,IGI,580529775,,113000.0,in_stock
YRA-0004-18R-6,RG-004,Ira Diamond Ring,Rings,18Kt,Rose,6,IJ/SI,5.117,0.95,GIA,177895777,,101500.0,in_stock
YRA-0004-18R-10,RG-004,Ira Diamond Ring,Rings,18Kt,Rose,10,HI/SI,5.428,0.97,GIA,941744891,,122900.0,in_stock
YRA-0005-14R-16,RG-005,Zoya Diamond Ring,Rings,14Kt,Rose,16,IJ/SI,5.831,1.15,GIA,552342173,,109600.0,in_stock
YRA-0005-14R-12,RG-005,Zoya Diamond Ring,Rings,14Kt,Rose,12,JK/SI,5.496,1.12,GIA,120919637,,88000.0,in_stock
YRA-0005-14R-20,RG-005,Zoya Diamond Ring,Rings,14Kt,Rose,20,JK/SI,6.186,1.13,IGI,512686830,,94100.0,in_stock
YRA-0005-14Y-6,RG-005,Zoya Diamond Ring,Rings,14Kt,Yellow,6,HI/SI,5.03,1.11,IGI,190260096,,120500.0,in_stock
YRA-0005-14Y-20,RG-005,Zoya Diamond Ring,Rings,14Kt,Yellow,20,HI/SI,6.186,1.11,GIA,911508888,,130100.0,in_stock
YRA-0005-14Y-12,RG-005,Zoya Diamond Ring,Rings,14Kt,Yellow,12,JK/SI,5.496,1.13,GIA,535883162,,88400.0,in_stock
YRA-0005-18W-6,RG-005,Zoya Diamond Ring,Rings,18Kt,White,6,JK/SI,6.036,1.11,IGI,556680688,,102100.0,sold
YRA-0005-18W-12,RG-005,Zoya Diamond Ring,Rings,18Kt,White,12,HI/SI,6.595,1.12,IGI,960742147,,145200.0,in_stock
YRA-0005-18W-16,RG-005,Zoya Diamond Ring,Rings,18Kt,White,16,HI/SI,6.997,1.13,IGI,383952089,,149900.0,sold
YRA-0005-18R-20,RG-005,Zoya Diamond Ring,Rings,18Kt,Rose,20,IJ/SI,7.423,1.15,GIA,767549003,,135100.0,in_stock
YRA-0005-18R-12,RG-005,Zoya Diamond Ring,Rings,18Kt,Rose,12,HI/SI,6.595,1.13,IGI,273354647,,145900.0,in_stock
YRA-0005-18R-16,RG-005,Zoya Diamond Ring,Rings,18Kt,Rose,16,IJ/SI,6.997,1.12,GIA,670249079,,129300.0,sold
YRA-0006-14W-14,RG-006,Meera Diamond Ring,Rings,14Kt,White,14,HI/SI,3.404,0.78,GIA,804921640,,83600.0,in_stock
YRA-0006-14W-16,RG-006,Meera Diamond Ring,Rings,14Kt,White,16,IJ/SI,3.506,0.77,GIA,838457070,,70100.0,in_stock
YRA-0006-14W-6,RG-006,Meera Diamond Ring,Rings,14Kt,White,6,HI/SI,3.025,0.75,IGI,534540855,,78300.0,sold
YRA-0006-14Y-6,RG-006,Meera Diamond Ring,Rings,14Kt,Yellow,6,JK/SI,3.025,0.74,GIA,562504317,,53100.0,in_stock
YRA-0006-14Y-14,RG-006,Meera Diamond Ring,Rings,14Kt,Yellow,14,IJ/SI,3.404,0.74,GIA,742933425,,67600.0,in_stock
YRA-0006-14Y-16,RG-006,Meera Diamond Ring,Rings,14Kt,Yellow,16,IJ/SI,3.506,0.75,IGI,269149705,,69000.0,in_stock
YRA-0006-18Y-16,RG-006,Meera Diamond Ring,Rings,18Kt,Yellow,16,IJ/SI,4.207,0.75,IGI,482879064,,81800.0,in_stock
YRA-0006-18Y-14,RG-006,Meera Diamond Ring,Rings,18Kt,Yellow,14,HI/SI,4.085,0.75,GIA,399497598,,93900.0,in_stock
YRA-0006-18Y-6,RG-006,Meera Diamond Ring,Rings,18Kt,Yellow,6,JK/SI,3.63,0.75,IGI,197551269,,64500.0,in_stock
YRA-0006-18R-6,RG-006,Meera Diamond Ring,Rings,18Kt,Rose,6,IJ/SI,3.63,0.76,IGI,421742505,,76600.0,in_stock
YRA-0006-18R-14,RG-006,Meera Diamond Ring,Rings,18Kt,Rose,14,JK/SI,4.085,0.75,IGI,806032141,,69000.0,sold
YRA-0006-18R-16,RG-006,Meera Diamond Ring,Rings,18Kt,Rose,16,JK/SI,4.207,0.77,GIA,920673058,,71000.0,in_stock
YRA-0007-14W-10,RG-007,Tara Diamond Ring,Rings,14Kt,White,10,IJ/SI,6.244,0.9,IGI,504390778,,99700.0,sold
YRA-0007-14W-6,RG-007,Tara Diamond Ring,Rings,14Kt,White,6,JK/SI,5.885,0.91,IGI,772405542,,83200.0,in_stock
YRA-0007-14W-16,RG-007,Tara Diamond Ring,Rings,14Kt,White,16,IJ/SI,6.823,0.9,IGI,590644740,,104500.0,sold
YRA-0007-14Y-6,RG-007,Tara Diamond Ring,Rings,14Kt,Yellow,6,JK/SI,5.885,0.91,GIA,370790737,,83200.0,sold
YRA-0007-14Y-10,RG-007,Tara Diamond Ring,Rings,14Kt,Yellow,10,HI/SI,6.244,0.92,IGI,347751030,,117100.0,in_stock
YRA-0007-14Y-18,RG-007,Tara Diamond Ring,Rings,14Kt,Yellow,18,IJ/SI,7.027,0.93,GIA,182398815,,107800.0,in_stock
YRA-0007-18W-10,RG-007,Tara Diamond Ring,Rings,18Kt,White,10,IJ/SI,7.493,0.91,GIA,799579688,,123000.0,in_stock
YRA-0007-18W-14,RG-007,Tara Diamond Ring,Rings,18Kt,White,14,JK/SI,7.949,0.9,IGI,113388715,,113200.0,in_stock
YRA-0007-18W-6,RG-007,Tara Diamond Ring,Rings,18Kt,White,6,JK/SI,7.062,0.91,IGI,843228175,,104700.0,in_stock
YRA-0007-18R-16,RG-007,Tara Diamond Ring,Rings,18Kt,Rose,16,IJ/SI,8.188,0.91,GIA,600727853,,129900.0,sold
YRA-0007-18R-18,RG-007,Tara Diamond Ring,Rings,18Kt,Rose,18,JK/SI,8.432,0.93,IGI,434658118,,119100.0,sold
YRA-0007-18R-6,RG-007,Tara Diamond Ring,Rings,18Kt,Rose,6,HI/SI,7.062,0.93,GIA,592816174,,136300.0,in_stock
YRA-0008-14R-10,RG-008,Kiara Diamond Ring,Rings,14Kt,Rose,10,HI/SI,4.155,1.41,GIA,621989554,,134600.0,in_stock
YRA-0008-14R-16,RG-008,Kiara Diamond Ring,Rings,14Kt,Rose,16,IJ/SI,4.541,1.39,GIA,535315694,,111700.0,in_stock
YRA-0008-14R-8,RG-008,Kiara Diamond Ring,Rings,14Kt,Rose,8,IJ/SI,4.034,1.39,GIA,439386217,,107500.0,in_stock
YRA-0008-14Y-16,RG-008,Kiara Diamond Ring,Rings,14Kt,Yellow,16,IJ/SI,4.541,1.41,IGI,310175441,,112800.0,in_stock
YRA-0008-14Y-8,RG-008,Kiara Diamond Ring,Rings,14Kt,Yellow,8,IJ/SI,4.034,1.42,GIA,499670335,,109100.0,in_stock
YRA-0008-14Y-20,RG-008,Kiara Diamond Ring,Rings,14Kt,Yellow,20,JK/SI,4.817,1.4,IGI,487308683,,93000.0,sold
YRA-0008-18R-16,RG-008,Kiara Diamond Ring,Rings,18Kt,Rose,16,IJ/SI,5.449,1.41,IGI,367710374,,129300.0,sold
YRA-0008-18R-8,RG-008,Kiara Diamond Ring,Rings,18Kt,Rose,8,IJ/SI,4.841,1.4,IGI,930199614,,122700.0,in_stock
YRA-0008-18R-14,RG-008,Kiara Diamond Ring,Rings,18Kt,Rose,14,HI/SI,5.29,1.42,GIA,695017231,,153500.0,in_stock
YRA-0008-18Y-8,RG-008,Kiara Diamond Ring,Rings,18Kt,Yellow,8,JK/SI,4.841,1.4,IGI,792016625,,101200.0,sold
YRA-0008-18Y-10,RG-008,Kiara Diamond Ring,Rings,18Kt,Yellow,10,JK/SI,4.986,1.4,IGI,283355162,,102600.0,in_stock
YRA-0008-18Y-16,RG-008,Kiara Diamond Ring,Rings,18Kt,Yellow,16,IJ/SI,5.449,1.39,GIA,893530107,,128300.0,in_stock
YRA-0009-14W-8,RG-009,Nyla Diamond Ring,Rings,14Kt,White,8,IJ/SI,4.655,0.68,GIA,249890132,,74800.0,in_stock
YRA-0009-14W-10,RG-009,Nyla Diamond Ring,Rings,14Kt,White,10,HI/SI,4.794,0.65,GIA,696865256,,85900.0,in_stock
YRA-0009-14W-6,RG-009,Nyla Diamond Ring,Rings,14Kt,White,6,IJ/SI,4.519,0.65,IGI,121562591,,72100.0,in_stock
YRA-0009-14R-6,RG-009,Nyla Diamond Ring,Rings,14Kt,Rose,6,HI/SI,4.519,0.67,GIA,390167827,,85000.0,in_stock
YRA-0009-14R-8,RG-009,Nyla Diamond Ring,Rings,14Kt,Rose,8,IJ/SI,4.655,0.64,GIA,235155965,,72700.0,in_stock
YRA-0009-14R-10,RG-009,Nyla Diamond Ring,Rings,14Kt,Rose,10,HI/SI,4.794,0.66,IGI,391006448,,86600.0,sold
YRA-0009-18R-8,RG-009,Nyla Diamond Ring,Rings,18Kt,Rose,8,HI/SI,5.586,0.68,IGI,134621185,,103900.0,in_stock
YRA-0009-18R-6,RG-009,Nyla Diamond Ring,Rings,18Kt,Rose,6,IJ/SI,5.423,0.67,GIA,100191870,,89600.0,in_stock
YRA-0009-18R-10,RG-009,Nyla Diamond Ring,Rings,18Kt,Rose,10,JK/SI,5.753,0.68,GIA,582056843,,83000.0,in_stock
YRA-0009-18W-10,RG-009,Nyla Diamond Ring,Rings,18Kt,White,10,JK/SI,5.753,0.65,IGI,986261507,,81800.0,in_stock
YRA-0009-18W-8,RG-009,Nyla Diamond Ring,Rings,18Kt,White,8,IJ/SI,5.586,0.67,IGI,692169593,,91200.0,sold
YRA-0009-18W-6,RG-009,Nyla Diamond Ring,Rings,18Kt,White,6,HI/SI,5.423,0.64,IGI,711369571,,99400.0,sold
YRA-0010-14Y-20,RG-010,Rhea Diamond Ring,Rings,14Kt,Yellow,20,IJ/SI,5.521,0.88,GIA,399148389,,92600.0,sold
YRA-0010-14Y-14,RG-010,Rhea Diamond Ring,Rings,14Kt,Yellow,14,HI/SI,5.052,0.91,GIA,665086391,,106500.0,in_stock
YRA-0010-14Y-18,RG-010,Rhea Diamond Ring,Rings,14Kt,Yellow,18,IJ/SI,5.36,0.89,GIA,159387283,,91800.0,in_stock
YRA-0010-14R-20,RG-010,Rhea Diamond Ring,Rings,14Kt,Rose,20,JK/SI,5.521,0.89,GIA,497518584,,79500.0,in_stock
YRA-0010-14R-18,RG-010,Rhea Diamond Ring,Rings,14Kt,Rose,18,IJ/SI,5.36,0.88,GIA,489038017,,91300.0,in_stock
YRA-0010-14R-14,RG-010,Rhea Diamond Ring,Rings,14Kt,Rose,14,IJ/SI,5.052,0.89,IGI,320351782,,89300.0,in_stock
YRA-0010-18Y-14,RG-010,Rhea Diamond Ring,Rings,18Kt,Yellow,14,IJ/SI,6.062,0.89,IGI,769582197,,107700.0,in_stock
YRA-0010-18Y-18,RG-010,Rhea Diamond Ring,Rings,18Kt,Yellow,18,HI/SI,6.432,0.89,GIA,547781560,,127200.0,sold
YRA-0010-18Y-20,RG-010,Rhea Diamond Ring,Rings,18Kt,Yellow,20,JK/SI,6.625,0.88,IGI,522474439,,99200.0,in_stock
YRA-0010-18R-14,RG-010,Rhea Diamond Ring,Rings,18Kt,Rose,14,HI/SI,6.062,0.88,IGI,522325957,,122800.0,in_stock
YRA-0010-18R-18,RG-010,Rhea Diamond Ring,Rings,18Kt,Rose,18,IJ/SI,6.432,0.91,IGI,185213425,,112500.0,sold
YRA-0010-18R-20,RG-010,Rhea Diamond Ring,Rings,18Kt,Rose,20,HI/SI,6.625,0.89,GIA,134245587,,129100.0,in_stock
YRA-0011-14R-10,RG-011,Sana Diamond Ring,Rings,14Kt,Rose,10,IJ/SI,5.111,1.32,GIA,194231867,,112700.0,in_stock
YRA-0011-14R-14,RG-011,Sana Diamond Ring,Rings,14Kt,Rose,14,IJ/SI,5.422,1.33,GIA,307260292,,115800.0,in_stock
YRA-0011-14R-6,RG-011,Sana Diamond Ring,Rings,14Kt,Rose,6,IJ/SI,4.817,1.34,IGI,778242045,,111300.0,in_stock
YRA-0011-14Y-10,RG-011,Sana Diamond Ring,Rings,14Kt,Yellow,10,IJ/SI,5.111,1.33,IGI,962577693,,113200.0,sold
YRA-0011-14Y-6,RG-011,Sana Diamond Ring,Rings,14Kt,Yellow,6,JK/SI,4.817,1.32,IGI,750275541,,89900.0,in_stock
YRA-0011-14Y-14,RG-011,Sana Diamond Ring,Rings,14Kt,Yellow,14,JK/SI,5.422,1.32,IGI,381505551,,94900.0,in_stock
YRA-0011-18W-6,RG-011,Sana Diamond Ring,Rings,18Kt,White,6,JK/SI,5.78,1.34,IGI,126045435,,108300.0,sold
YRA-0011-18W-10,RG-011,Sana Diamond Ring,Rings,18Kt,White,10,JK/SI,6.133,1.31,GIA,933606632,,110600.0,in_stock
YRA-0011-18W-14,RG-011,Sana Diamond Ring,Rings,18Kt,White,14,IJ/SI,6.506,1.32,GIA,242493350,,135000.0,sold
YRA-0011-18R-14,RG-011,Sana Diamond Ring,Rings,18Kt,Rose,14,HI/SI,6.506,1.34,IGI,451972364,,159900.0,sold
YRA-0011-18R-10,RG-011,Sana Diamond Ring,Rings,18Kt,Rose,10,JK/SI,6.133,1.33,IGI,649632103,,111400.0,in_stock
YRA-0011-18R-6,RG-011,Sana Diamond Ring,Rings,18Kt,Rose,6,HI/SI,5.78,1.34,GIA,169506557,,152700.0,in_stock
YRA-0012-14R-20,RG-012,Diya Diamond Ring,Rings,14Kt,Rose,20,JK/SI,4.691,0.65,IGI,903134235,,63500.0,in_stock
YRA-0012-14R-8,RG-012,Diya Diamond Ring,Rings,14Kt,Rose,8,HI/SI,3.929,0.66,GIA,415446180,,79400.0,in_stock
YRA-0012-14R-6,RG-012,Diya Diamond Ring,Rings,14Kt,Rose,6,IJ/SI,3.814,0.64,GIA,313878733,,65700.0,in_stock
YRA-0012-14W-20,RG-012,Diya Diamond Ring,Rings,14Kt,White,20,JK/SI,4.691,0.64,IGI,450402672,,63100.0,in_stock
YRA-0012-14W-8,RG-012,Diya Diamond Ring,Rings,14Kt,White,8,HI/SI,3.929,0.64,IGI,797546341,,78000.0,sold
YRA-0012-14W-6,RG-012,Diya Diamond Ring,Rings,14Kt,White,6,HI/SI,3.814,0.66,IGI,104823357,,78500.0,in_stock
YRA-0012-18Y-6,RG-012,Diya Diamond Ring,Rings,18Kt,Yellow,6,HI/SI,4.577,0.64,IGI,744774777,,91000.0,sold
YRA-0012-18Y-8,RG-012,Diya Diamond Ring,Rings,18Kt,Yellow,8,HI/SI,4.715,0.65,GIA,650474151,,93100.0,sold
YRA-0012-18Y-20,RG-012,Diya Diamond Ring,Rings,18Kt,Yellow,20,IJ/SI,5.629,0.65,IGI,213580477,,90600.0,in_stock
YRA-0012-18R-6,RG-012,Diya Diamond Ring,Rings,18Kt,Rose,6,HI/SI,4.577,0.64,IGI,319018026,,91000.0,sold
YRA-0012-18R-8,RG-012,Diya Diamond Ring,Rings,18Kt,Rose,8,JK/SI,4.715,0.63,IGI,974824409,,70700.0,in_stock
YRA-0012-18R-12,RG-012,Diya Diamond Ring,Rings,18Kt,Rose,12,JK/SI,5.002,0.64,GIA,298798035,,74000.0,in_stock
YRA-0013-14W-6,RG-013,Aria Diamond Ring,Rings,14Kt,White,6,IJ/SI,2.151,0.71,GIA,548658060,,55600.0,sold
YRA-0013-14W-14,RG-013,Aria Diamond Ring,Rings,14Kt,White,14,JK/SI,2.422,0.7,GIA,544615043,,46600.0,in_stock
YRA-0013-14W-16,RG-013,Aria Diamond Ring,Rings,14Kt,White,16,IJ/SI,2.494,0.72,IGI,519544342,,59000.0,in_stock
YRA-0013-14Y-16,RG-013,Aria Diamond Ring,Rings,14Kt,Yellow,16,IJ/SI,2.494,0.73,IGI,980864063,,59500.0,in_stock
YRA-0013-14Y-10,RG-013,Aria Diamond Ring,Rings,14Kt,Yellow,10,IJ/SI,2.283,0.71,GIA,930060939,,56700.0,in_stock
YRA-0013-14Y-6,RG-013,Aria Diamond Ring,Rings,14Kt,Yellow,6,JK/SI,2.151,0.69,IGI,787910620,,43900.0,sold
YRA-0013-18R-14,RG-013,Aria Diamond Ring,Rings,18Kt,Rose,14,IJ/SI,2.906,0.7,IGI,659590087,,66200.0,in_stock
YRA-0013-18R-6,RG-013,Aria Diamond Ring,Rings,18Kt,Rose,6,IJ/SI,2.581,0.69,GIA,909124394,,62400.0,sold
YRA-0013-18R-10,RG-013,Aria Diamond Ring,Rings,18Kt,Rose,10,HI/SI,2.74,0.73,GIA,235989781,,79100.0,sold
YRA-0013-18Y-10,RG-013,Aria Diamond Ring,Rings,18Kt,Yellow,10,JK/SI,2.74,0.69,GIA,192657934,,53400.0,sold
YRA-0013-18Y-16,RG-013,Aria Diamond Ring,Rings,18Kt,Yellow,16,HI/SI,2.993,0.71,IGI,766850676,,80200.0,in_stock
YRA-0013-18Y-14,RG-013,Aria Diamond Ring,Rings,18Kt,Yellow,14,IJ/SI,2.906,0.72,IGI,707122916,,67200.0,in_stock
YRA-0014-14W-12,RG-014,Luna Diamond Ring,Rings,14Kt,White,12,JK/SI,3.799,1.0,IGI,557134672,,69400.0,in_stock
YRA-0014-14W-10,RG-014,Luna Diamond Ring,Rings,14Kt,White,10,JK/SI,3.688,0.99,GIA,291946300,,68100.0,in_stock
YRA-0014-14W-20,RG-014,Luna Diamond Ring,Rings,14Kt,White,20,IJ/SI,4.276,1.0,GIA,352598759,,88700.0,in_stock
YRA-0014-14R-12,RG-014,Luna Diamond Ring,Rings,14Kt,Rose,12,IJ/SI,3.799,1.01,IGI,172070263,,85300.0,in_stock
YRA-0014-14R-20,RG-014,Luna Diamond Ring,Rings,14Kt,Rose,20,HI/SI,4.276,1.0,GIA,641533161,,106500.0,in_stock
YRA-0014-14R-6,RG-014,Luna Diamond Ring,Rings,14Kt,Rose,6,JK/SI,3.477,0.98,IGI,188305626,,65900.0,sold
YRA-0014-18R-6,RG-014,Luna Diamond Ring,Rings,18Kt,Rose,6,HI/SI,4.172,1.02,IGI,171275701,,114000.0,sold
YRA-0014-18R-20,RG-014,Luna Diamond Ring,Rings,18Kt,Rose,20,HI/SI,5.131,1.01,IGI,241323188,,122800.0,sold
YRA-0014-18R-10,RG-014,Luna Diamond Ring,Rings,18Kt,Rose,10,HI/SI,4.426,1.0,IGI,170347488,,115100.0,sold
YRA-0014-18Y-12,RG-014,Luna Diamond Ring,Rings,18Kt,Yellow,12,JK/SI,4.559,0.99,GIA,975772452,,82800.0,in_stock
YRA-0014-18Y-10,RG-014,Luna Diamond Ring,Rings,18Kt,Yellow,10,IJ/SI,4.426,0.99,IGI,735534654,,96800.0,in_stock
YRA-0014-18Y-6,RG-014,Luna Diamond Ring,Rings,18Kt,Yellow,6,IJ/SI,4.172,1.0,GIA,139549192,,94800.0,in_stock
YRA-0015-14R-10,RG-015,Ivy Diamond Ring,Rings,14Kt,Rose,10,JK/SI,3.705,1.03,IGI,486816983,,69700.0,in_stock
YRA-0015-14R-20,RG-015,Ivy Diamond Ring,Rings,14Kt,Rose,20,HI/SI,4.295,0.99,IGI,760752422,,105900.0,in_stock
YRA-0015-14R-16,RG-015,Ivy Diamond Ring,Rings,14Kt,Rose,16,JK/SI,4.048,0.99,GIA,432937745,,71000.0,in_stock
YRA-0015-14W-20,RG-015,Ivy Diamond Ring,Rings,14Kt,White,20,HI/SI,4.295,0.99,IGI,260379191,,105900.0,in_stock
YRA-0015-14W-10,RG-015,Ivy Diamond Ring,Rings,14Kt,White,10,IJ/SI,3.705,1.02,GIA,151299481,,85000.0,in_stock
YRA-0015-14W-12,RG-015,Ivy Diamond Ring,Rings,14Kt,White,12,JK/SI,3.816,1.0,IGI,123933193,,69500.0,in_stock
YRA-0015-18W-10,RG-015,Ivy Diamond Ring,Rings,18Kt,White,10,HI/SI,4.446,1.0,GIA,726625977,,115300.0,in_stock
YRA-0015-18W-6,RG-015,Ivy Diamond Ring,Rings,18Kt,White,6,IJ/SI,4.19,1.0,GIA,270320618,,94900.0,in_stock
YRA-0015-18W-20,RG-015,Ivy Diamond Ring,Rings,18Kt,White,20,HI/SI,5.154,1.03,IGI,584099832,,124400.0,in_stock
YRA-0015-18R-16,RG-015,Ivy Diamond Ring,Rings,18Kt,Rose,16,HI/SI,4.858,1.02,IGI,792506959,,120800.0,sold
YRA-0015-18R-10,RG-015,Ivy Diamond Ring,Rings,18Kt,Rose,10,JK/SI,4.446,1.03,GIA,746265302,,83200.0,sold
YRA-0015-18R-20,RG-015,Ivy Diamond Ring,Rings,18Kt,Rose,20,HI/SI,5.154,1.02,IGI,100429044,,123700.0,in_stock
YRA-0016-14W-14,RG-016,Maya Diamond Ring,Rings,14Kt,White,14,JK/SI,4.524,1.05,IGI,877717724,,77300.0,sold
